"Code INSEE","Code Postal",Commune,Département,Région,Statut,"Altitude Moyenne",Superficie,Population,geo_point_2d,geo_shape,"ID Geogla","Code Commune","Code Canton","Code Arrondissement","Code Département","Code Région"
10089,10510,CHATRES,AUBE,CHAMPAGNE-ARDENNE,"Commune simple",89.0,1581.0,0.6,"48.4931286007, 3.83670871212","{""type"": ""Polygon"", ""coordinates"": [[[3.820051127262242, 48.46610267461011], [3.812007153751728, 48.469945535829545], [3.807284427407308, 48.47867741917285], [3.8258960311003, 48.51517391629742], [3.834506958357064, 48.517659718432505], [3.867353185937176, 48.509129905396435], [3.869184926787108, 48.49792495442748], [3.834254349529948, 48.46856777133807], [3.826075777964843, 48.4706941760029], [3.820051127262242, 48.46610267461011]]]}",9972,089,14,2,10,21
33441,33390,SAINT-MARTIN-LACAUSSADE,GIRONDE,AQUITAINE,"Commune simple",23.0,397.0,1.0,"45.142779014, -0.642629661548","{""type"": ""Polygon"", ""coordinates"": [[[-0.642978656171464, 45.127020326422915], [-0.65685274650227, 45.14367406761519], [-0.658348725334528, 45.15017799545956], [-0.635733829493336, 45.15206236440094], [-0.627771871614229, 45.14695857085308], [-0.623500175664154, 45.14296023782387], [-0.635453719002673, 45.13895665749734], [-0.642978656171464, 45.127020326422915]]]}",8908,441,07,1,33,72
03246,03380,SAINT-MARTINIEN,ALLIER,AUVERGNE,"Commune simple",428.0,2573.0,0.6,"46.3329189292, 2.44287081295","{""type"": ""Polygon"", ""coordinates"": [[[2.420656668929859, 46.310132428789025], [2.388151227711171, 46.33156551313306], [2.421224073311094, 46.35231454182275], [2.435200821602212, 46.34885469284383], [2.448720935469483, 46.353108145279045], [2.457103009485669, 46.35633609477845], [2.470538133372107, 46.346899094164996], [2.484601999078599, 46.344748328408556], [2.496683494410068, 46.33465378798076], [2.493073867076113, 46.32855948427937], [2.462154707984767, 46.313469586265455], [2.458285719627473, 46.31966467125185], [2.453414461696072, 46.31940728383293], [2.432091365985876, 46.311441684831195], [2.422601630039521, 46.31299687947942], [2.420656668929859, 46.310132428789025]]]}",3614,246,13,1,03,83
55053,55230,BILLY-SOUS-MANGIENNES,MEUSE,LORRAINE,"Commune simple",218.0,2525.0,0.4,"49.3230881619, 5.56172937909","{""type"": ""Polygon"", ""coordinates"": [[[5.547810155635091, 49.29164868434743], [5.516659543883073, 49.30367062456269], [5.515050722898939, 49.31384018655865], [5.542186429500645, 49.3385713027695], [5.567873079185806, 49.3502683821766], [5.578358569477128, 49.3512772108619], [5.59018389496537, 49.34770560935532], [5.591911368220306, 49.34783944308966], [5.601391430642188, 49.332463087148504], [5.615028391705502, 49.32782450418306], [5.592104897918171, 49.309512228984254], [5.572716142497821, 49.31323676479416], [5.558823829374143, 49.308558338315684], [5.554907927084781, 49.302255540315485], [5.556492793639259, 49.29537750333189], [5.547810155635091, 49.29164868434743]]]}",8799,053,19,3,55,41
28127,28160,DANGEAU,EURE-ET-LOIR,CENTRE,"Commune simple",155.0,3965.0,0.9,"48.1969504376, 1.27633745372","{""type"": ""Polygon"", ""coordinates"": [[[1.295027078122342, 48.151002005467994], [1.268617396418844, 48.16517994644101], [1.256051079466761, 48.15990072296515], [1.252389028530471, 48.16202463206168], [1.258653870375271, 48.1707215424482], [1.254713239274762, 48.17636951357609], [1.246231662202064, 48.1732467064914], [1.237002064413433, 48.17442325562127], [1.23215628347134, 48.187734207706114], [1.24113278141207, 48.20715562523128], [1.23512829825407, 48.21277212002652], [1.245337205722121, 48.227702224766425], [1.264352992634671, 48.23189803573783], [1.27003490960738, 48.22623042289914], [1.275132299345918, 48.22645794392512], [1.286127385024104, 48.23337682488503], [1.300533808360514, 48.23110094006515], [1.303454931967474, 48.22487904253293], [1.308022778917215, 48.22355856938479], [1.322029010518046, 48.22485629012984], [1.328951171485557, 48.215099606291425], [1.316792451977994, 48.209995051217554], [1.308397610239574, 48.19842718330019], [1.305286204935656, 48.192190561135966], [1.30872091115057, 48.18623677670246], [1.299098755802346, 48.18411852472981], [1.298682829169501, 48.180737489046976], [1.303139790192153, 48.17102748211163], [1.31182676896766, 48.168236000317314], [1.30826637477101, 48.162199888622055], [1.298330023280895, 48.16120200214476], [1.29931730862808, 48.15184695234877], [1.295027078122342, 48.151002005467994]]]}",8927,127,06,2,28,24
59042,59830,BACHY,NORD,NORD-PAS-DE-CALAIS,"Commune simple",54.0,644.0,1.4,"50.5435916608, 3.26883958433","{""type"": ""Polygon"", ""coordinates"": [[[3.286517319190538, 50.5275758381262], [3.26037502761733, 50.52872858109876], [3.25351390992421, 50.541999777491434], [3.258307253576588, 50.5428694782836], [3.253624144718823, 50.55828094752015], [3.263046528638829, 50.56030767771997], [3.275957418697949, 50.55853840025284], [3.281631717877902, 50.55282629080341], [3.279742421315716, 50.539887941431964], [3.286517319190538, 50.5275758381262]]]}",32320,042,20,5,59,31
76675,76690,SIERVILLE,SEINE-MARITIME,HAUTE-NORMANDIE,"Commune simple",167.0,1584.0,0.9,"49.5915709945, 1.03742775738","{""type"": ""Polygon"", ""coordinates"": [[[1.041205565014563, 49.57145992880472], [1.026167429468641, 49.57394914455454], [1.00437195999123, 49.583085711842116], [0.997981535407027, 49.5891832187983], [1.008030744235262, 49.596755682599884], [1.035161438484804, 49.61128359280052], [1.049477932534462, 49.614588522310676], [1.052055263831277, 49.60464305364324], [1.062244452563048, 49.60586672358269], [1.069887292488284, 49.60161972083888], [1.067148626836006, 49.59538267923064], [1.070504138669962, 49.58558389451464], [1.06676346997675, 49.583214160377054], [1.041205565014563, 49.57145992880472]]]}",32189,675,11,3,76,23
53210,53290,SAINT-DENIS-D'ANJOU,MAYENNE,"PAYS DE LA LOIRE","Commune simple",58.0,4180.0,1.5,"47.7899907217, -0.443836396748","{""type"": ""Polygon"", ""coordinates"": [[[-0.453550759907495, 47.756347580831545], [-0.460943800973788, 47.76546252723794], [-0.479832592717765, 47.776614265606305], [-0.507134068230152, 47.785069970601796], [-0.495665661990597, 47.79626884573693], [-0.503235957576825, 47.82309666822737], [-0.493527031024235, 47.82191809679808], [-0.487219499141029, 47.81691688267436], [-0.456620898927552, 47.81718402182244], [-0.43408017720781, 47.80905444470247], [-0.416993835952824, 47.80267152435847], [-0.388200582568628, 47.8053186563909], [-0.387157495475442, 47.804267809445705], [-0.380080437730153, 47.78233842455868], [-0.375842832763717, 47.7659029676234], [-0.381703841527286, 47.76057183206777], [-0.384007967162573, 47.767180635599985], [-0.409581483030086, 47.77820387704544], [-0.414669141422168, 47.778551076191924], [-0.410032036738537, 47.76521818355217], [-0.42927575168415, 47.76733157019672], [-0.453550759907495, 47.756347580831545]]]}",23589,210,04,1,53,52
72027,72340,BEAUMONT-SUR-DEME,SARTHE,"PAYS DE LA LOIRE","Commune simple",100.0,1355.0,0.3,"47.6873211629, 0.579539611616","{""type"": ""Polygon"", ""coordinates"": [[[0.614431199093156, 47.694213646053186], [0.61869253234991, 47.69227443056662], [0.61588038129782, 47.68567059979661], [0.593313647011559, 47.67185381719133], [0.584074604347783, 47.6689076506176], [0.558791522555862, 47.670795607416686], [0.557860378621715, 47.67249613253941], [0.551128151503227, 47.68496242571345], [0.554906223007513, 47.694757959719915], [0.563361396415146, 47.69828432732927], [0.56847657410982, 47.707791964830925], [0.578200139301814, 47.70930843532877], [0.580315473948969, 47.71237785177415], [0.593194653079139, 47.70225200980293], [0.592297218387655, 47.69554291271034], [0.599576859817907, 47.687020882739645], [0.60452925083194, 47.686618192160616], [0.614431199093156, 47.694213646053186]]]}",7002,027,06,1,72,52
93008,93000,BOBIGNY,SEINE-SAINT-DENIS,ILE-DE-FRANCE,Préfecture,48.0,674.0,48.5,"48.907688244, 2.43863982727","{""type"": ""Polygon"", ""coordinates"": [[[2.427724040274503, 48.89588763313303], [2.414487867030026, 48.90489768763191], [2.410056995679755, 48.916692770600164], [2.413493843691985, 48.91926364381447], [2.456591346840314, 48.910977524018364], [2.475214378256837, 48.91641135374975], [2.469861405218081, 48.904768868997856], [2.441283286623537, 48.898280874118626], [2.427724040274503, 48.89588763313303]]]}",12799,008,07,1,93,11
56101,56440,LANGUIDIC,MORBIHAN,BRETAGNE,"Commune simple",70.0,10546.0,7.3,"47.8365621011, -3.14756396353","{""type"": ""Polygon"", ""coordinates"": [[[-3.148718505298129, 47.7689173284658], [-3.169562458568035, 47.77347947348488], [-3.174155261380007, 47.778888446058055], [-3.176412267745669, 47.789313782529625], [-3.186717278245566, 47.80129974781333], [-3.209833286265185, 47.80875968778713], [-3.213527364982912, 47.80230705027386], [-3.237574519403854, 47.80373553338346], [-3.231708897690816, 47.81278754204102], [-3.229826979151277, 47.825644584346044], [-3.233405800694759, 47.83088893851506], [-3.213208325322392, 47.829579647459234], [-3.206996824813384, 47.83504615189686], [-3.207717202893323, 47.841661485913164], [-3.215692263921821, 47.85021199088738], [-3.197877591464279, 47.86671117187248], [-3.202588844056949, 47.88290105443011], [-3.198795125364353, 47.88523236668571], [-3.189890134012355, 47.88781564663604], [-3.174578184832726, 47.88644805801073], [-3.138924142672662, 47.88984728523152], [-3.127038122530308, 47.883157672727236], [-3.111564888379506, 47.88280145149379], [-3.098437886896376, 47.876941187820414], [-3.077643287593717, 47.874853628970115], [-3.0686697774363, 47.871238926237986], [-3.069224094769145, 47.843146691739136], [-3.059609937831211, 47.83140473218551], [-3.060609526686395, 47.828067288579454], [-3.075688960835204, 47.827240254934914], [-3.088261349831577, 47.81729817715576], [-3.114078551391634, 47.80802604227095], [-3.116054861942728, 47.80168491749654], [-3.128047038894621, 47.78334547721085], [-3.148718505298129, 47.7689173284658]]]}",6720,101,14,1,56,53
60506,60400,PONT-L'EVEQUE,OISE,PICARDIE,"Commune simple",39.0,114.0,0.7,"49.5627550625, 2.98667327051","{""type"": ""Polygon"", ""coordinates"": [[[2.977014341387143, 49.552838040573], [2.980339270118432, 49.56361382504907], [2.989954334744083, 49.56947435478874], [3.000041448873571, 49.563228985993334], [2.990149065443815, 49.56280620794061], [2.977014341387143, 49.552838040573]]]}",9116,506,29,3,60,22
73015,73550,"LES ALLUES",SAVOIE,RHONE-ALPES,"Commune simple",2074.0,8610.0,1.9,"45.3697146214, 6.58767852898","{""type"": ""Polygon"", ""coordinates"": [[[6.640211865483044, 45.277018790114745], [6.630617094146261, 45.27613204724738], [6.624136404532714, 45.28130901314109], [6.617080658915841, 45.301638392289085], [6.601157336534716, 45.3101926498939], [6.582119096319296, 45.314292393867234], [6.572579155841995, 45.32230420476051], [6.566550690638194, 45.353449416032895], [6.536098055294686, 45.39385896050744], [6.532815547308683, 45.40783441839859], [6.521846996192913, 45.42375515128473], [6.524490033367072, 45.430513340197805], [6.522018696749162, 45.43736922289785], [6.52382387243128, 45.443423684452675], [6.533051182700074, 45.44455739182385], [6.546456840711116, 45.45316580245947], [6.557984416332255, 45.45218763179248], [6.564052080247667, 45.4483533362969], [6.563548148459016, 45.444890036829996], [6.575571135142646, 45.43990111632944], [6.579312281923571, 45.42980338498608], [6.588504933145019, 45.417529960423835], [6.601989436480117, 45.40756953865856], [6.604315615918618, 45.40101369999576], [6.612911165409304, 45.36986399511456], [6.627726343223319, 45.360551157196994], [6.644874326324492, 45.338720860920404], [6.664793031391891, 45.327739974972594], [6.652557379720068, 45.317323296162684], [6.647811868067795, 45.3074906444167], [6.636255012345413, 45.30070096528746], [6.634245498900194, 45.286740649282514], [6.640211865483044, 45.277018790114745]]]}",9488,015,08,1,73,82
31515,31620,SAINT-RUSTICE,HAUTE-GARONNE,MIDI-PYRENEES,"Commune simple",144.0,243.0,0.4,"43.8031334358, 1.32817608757","{""type"": ""Polygon"", ""coordinates"": [[[1.343356442489878, 43.810530411154865], [1.341521093478684, 43.80395888779876], [1.322444806215705, 43.794621137645386], [1.311637167689505, 43.80083587409155], [1.326312700195816, 43.80851491713697], [1.343356442489878, 43.810530411154865]]]}",32486,515,14,3,31,73
59282,59670,HARDIFORT,NORD,NORD-PAS-DE-CALAIS,"Commune simple",49.0,615.0,0.4,"50.8187124794, 2.48138038993","{""type"": ""Polygon"", ""coordinates"": [[[2.509606785217115, 50.82059831687744], [2.475476388788773, 50.80402256986618], [2.46367349230191, 50.81010029597563], [2.456021777278262, 50.81446344525065], [2.467667821039046, 50.82065056926397], [2.475645474137474, 50.83247340158292], [2.4879378735449, 50.83568254410685], [2.486918265013915, 50.82597087713627], [2.501778341798523, 50.82446107500224], [2.509606785217115, 50.82059831687744]]]}",29334,282,16,4,59,31
51027,51800,AUVE,MARNE,CHAMPAGNE-ARDENNE,"Commune simple",176.0,2329.0,0.2,"49.0286926359, 4.68669645123","{""type"": ""Polygon"", ""coordinates"": [[[4.673862090930492, 48.99037791417958], [4.668394880589368, 49.0061126946517], [4.65722727303827, 49.011735736060814], [4.663748956559565, 49.01685297305222], [4.655921751276392, 49.028680130680364], [4.661495671953792, 49.03703024840909], [4.660943333762583, 49.04712876167955], [4.683429775327209, 49.05493693782953], [4.695936314901895, 49.06538243461938], [4.701096816376958, 49.06539941840179], [4.710945710823397, 49.058172617733746], [4.710206407982804, 49.048613880602254], [4.71354090208755, 49.03896101892484], [4.709475299454462, 49.033065056018714], [4.711459921783899, 49.01277344856411], [4.715364747743131, 49.01053215225642], [4.686718284414436, 48.998238592584535], [4.683693678239086, 48.99221904688265], [4.673862090930492, 48.99037791417958]]]}",24075,027,08,5,51,21
41002,41400,ANGE,LOIR-ET-CHER,CENTRE,"Commune simple",108.0,1738.0,0.8,"47.3165186023, 1.23978157464","{""type"": ""Polygon"", ""coordinates"": [[[1.243638270998298, 47.28366225376838], [1.239136282662527, 47.28859161620962], [1.223335156052554, 47.29417679425747], [1.215701972782334, 47.303226463660515], [1.223535274012196, 47.34455161122396], [1.245096192072596, 47.34233109654732], [1.268409577489338, 47.33746743800258], [1.258736907820751, 47.32531085929509], [1.259456596869569, 47.3010724342087], [1.254002826814826, 47.29130155207727], [1.243638270998298, 47.28366225376838]]]}",19211,002,13,1,41,24
68200,68210,MANSPACH,HAUT-RHIN,ALSACE,"Commune simple",350.0,536.0,0.6,"47.6116259818, 7.0925498257","{""type"": ""Polygon"", ""coordinates"": [[[7.078390891334262, 47.59685789415471], [7.074360038629013, 47.59886449705802], [7.079383680514565, 47.607927399198104], [7.078602043165633, 47.61775198709709], [7.10547321369098, 47.62620138237266], [7.110626878042928, 47.61314900380302], [7.099199723874366, 47.60338410241629], [7.078390891334262, 47.59685789415471]]]}",22919,200,05,1,68,42
32121,32600,ENDOUFIELLE,GERS,MIDI-PYRENEES,"Commune simple",181.0,1727.0,0.6,"43.5444326144, 1.02189690192","{""type"": ""Polygon"", ""coordinates"": [[[1.031768777803881, 43.51835947313003], [1.001857951974538, 43.526020695218705], [0.988489829115871, 43.5393638786316], [1.002973388042219, 43.552996641696765], [1.022921895233828, 43.56915720087576], [1.035213139498634, 43.57892959798136], [1.040416644946407, 43.56975336293049], [1.040112708714488, 43.55327756616809], [1.045982900797871, 43.541143311219955], [1.05055181818018, 43.54103647891067], [1.031768777803881, 43.51835947313003]]]}",10291,121,10,1,32,73
62738,62310,SAINS-LES-FRESSIN,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS,"Commune simple",131.0,677.0,0.2,"50.4721168643, 2.04894753008","{""type"": ""Polygon"", ""coordinates"": [[[2.074786822041276, 50.47455968679441], [2.067198439249248, 50.47945797801574], [2.062388331383584, 50.47787759445135], [2.060050700975746, 50.47121689752953], [2.044577146599799, 50.45716586687933], [2.039538250510148, 50.455932867966986], [2.019996092099547, 50.46079784096444], [2.02474260533765, 50.46769390252474], [2.04037986052188, 50.478202602407585], [2.067176744244652, 50.488228193586906], [2.081755054420163, 50.48508761396592], [2.074786822041276, 50.47455968679441]]]}",22656,738,24,4,62,31
60445,60400,NAMPCEL,OISE,PICARDIE,"Commune simple",139.0,1673.0,0.3,"49.4918764493, 3.09066471681","{""type"": ""Polygon"", ""coordinates"": [[[3.093419211468092, 49.468458400413525], [3.079125241390658, 49.46413648574516], [3.075835424326813, 49.47751228604984], [3.056395286690068, 49.49774483732205], [3.058909974299579, 49.50064657705128], [3.074419890247847, 49.50969730645546], [3.076817514612016, 49.516319437308155], [3.089760769227893, 49.52158604845429], [3.096325086537241, 49.517896254440814], [3.097789474308575, 49.51124450432277], [3.107214474047872, 49.50366919726734], [3.121281024130381, 49.49367989557876], [3.12330598980268, 49.48079870251942], [3.106257194549762, 49.474505529330166], [3.10708547832851, 49.46823138703083], [3.093419211468092, 49.468458400413525]]]}",16986,445,01,3,60,22
23260,23250,VIDAILLAT,CREUSE,LIMOUSIN,"Commune simple",527.0,2355.0,0.2,"45.9552228626, 1.89790597519","{""type"": ""Polygon"", ""coordinates"": [[[1.869923282365699, 45.930774839722254], [1.870123901168735, 45.94490702127913], [1.858972528745605, 45.95600745422136], [1.866536753524899, 45.96490017605648], [1.864958025282249, 45.975078990255824], [1.871844071824606, 45.98004697942728], [1.871316493404428, 45.986877159074346], [1.880965712387038, 45.98631547440639], [1.892279604659336, 45.97556567794438], [1.906778622844369, 45.97393243341425], [1.923453771148797, 45.96202446237814], [1.930266834728085, 45.956973772564666], [1.946519597715941, 45.945688907980184], [1.948856399002172, 45.93688502293584], [1.922040811701515, 45.93525488548439], [1.91058864695502, 45.94065675523879], [1.894143761725155, 45.9335627862803], [1.875661091803277, 45.936100415713994], [1.869923282365699, 45.930774839722254]]]}",8992,260,21,2,23,74
76655,76460,SAINT-VALERY-EN-CAUX,SEINE-MARITIME,HAUTE-NORMANDIE,"Chef-lieu canton",50.0,1071.0,4.5,"49.85975403, 0.70707488248","{""type"": ""Polygon"", ""coordinates"": [[[0.719347853446062, 49.84289084624057], [0.715944341204016, 49.845343729963325], [0.707044951071771, 49.84296594347571], [0.697893709608804, 49.84619102420703], [0.692650240041931, 49.852113719192836], [0.670136134320132, 49.86053893385319], [0.668521892741466, 49.86726673442701], [0.709730761018576, 49.87293555876614], [0.718798832909055, 49.86948338514786], [0.744404575208736, 49.87121715823675], [0.750404414298957, 49.871381733837055], [0.74345433161755, 49.86629258793077], [0.728591567484079, 49.86252998829102], [0.730291056252475, 49.852765345325075], [0.728530438774486, 49.84609984699902], [0.719347853446062, 49.84289084624057]]]}",17391,655,50,1,76,23
58083,58800,CORBIGNY,NIEVRE,BOURGOGNE,"Chef-lieu canton",224.0,2022.0,1.6,"47.2565578889, 3.68948978336","{""type"": ""Polygon"", ""coordinates"": [[[3.68406165140299, 47.221150090243505], [3.675299635033773, 47.22215579310403], [3.669059992879524, 47.22729667771771], [3.667093327065187, 47.237094236459086], [3.66380369782859, 47.24580994840903], [3.669693789518827, 47.2516639825101], [3.66783728658322, 47.27997063282358], [3.673189706473797, 47.28587253981522], [3.682774401051544, 47.27902842996551], [3.693323215518527, 47.289688213420966], [3.697857731640756, 47.28123441009074], [3.715794180193912, 47.27902748544061], [3.725732862295295, 47.27733622854246], [3.71829843427652, 47.2733852226323], [3.721201152468522, 47.266921149629674], [3.708812551250634, 47.24819041860867], [3.694964738735618, 47.238605066144984], [3.699706128758019, 47.229132409386786], [3.68406165140299, 47.221150090243505]]]}",11387,083,06,2,58,26
57502,57320,NEUNKIRCHEN-LES-BOUZONVILLE,MOSELLE,LORRAINE,"Commune simple",227.0,375.0,0.3,"49.3498409296, 6.56078600065","{""type"": ""Polygon"", ""coordinates"": [[[6.57075497323701, 49.33402262320343], [6.560556925348839, 49.34127032826404], [6.547005923154193, 49.34466543495479], [6.551175837596985, 49.35102144399777], [6.550423100758253, 49.361490133503985], [6.558164975457575, 49.36627418253515], [6.569626628630348, 49.35770298531239], [6.564997675826971, 49.35610306926242], [6.565380403026596, 49.34928927784389], [6.578704443937561, 49.33508302232115], [6.57075497323701, 49.33402262320343]]]}",32240,502,04,1,57,41
32322,32130,POMPIAC,GERS,MIDI-PYRENEES,"Commune simple",200.0,1027.0,0.2,"43.5155437622, 1.00396355344","{""type"": ""Polygon"", ""coordinates"": [[[1.014289425492331, 43.500239111592805], [0.986153771630875, 43.502960277503384], [0.98142715928894, 43.50974839801857], [0.991620187621646, 43.51671461296114], [0.980636752863287, 43.53399792548548], [0.980595503099624, 43.53728222246044], [0.988489829115871, 43.5393638786316], [1.001857951974538, 43.526020695218705], [1.031768777803881, 43.51835947313003], [1.026051653735709, 43.50298278947539], [1.014289425492331, 43.500239111592805]]]}",32360,322,26,1,32,73
